owner	photo_id	comment	fav
148749675@N08	51769426117		False
18971784@N00	51403690647		False
57502040@N07	51311691014		False
91735654@N05	51238485556		False
54714244@N08	51168369526		False
73218096@N08	51149933031		False
116685283@N05	51100219499		False
146861674@N06	51048200623		False
45601148@N06	50988442402		False
107755675@N07	50870462432		False
27136936@N04	50829424897		False
118331246@N06	50719191837		False
116685283@N05	50644343157	!	False
35757099@N06	50585830651		False
24755551@N05	50562513291		False
21486179@N03	50538409088		False
21486179@N03	50535945532		False
104046315@N04	50506371798		False
86390270@N03	50493157128		False
22729253@N06	50416877271		False
182576136@N07	50368783862		False
22729253@N06	50363338647		False
57235983@N05	50361352732	!	False
24833783@N04	50359049791		False
22882785@N04	50315006512		False
92445262@N04	50293843096		False
46185020@N02	50209404088		False
93025383@N08	50198932321		False
45601148@N06	50196650391		False
86390270@N03	50165611462		False
65484951@N00	50160709677		False
123472362@N05	50095485927		False
45655686@N08	50081623646		False
45029785@N00	50060503833		False
25820598@N06	49960541283	!	False
94550159@N02	49879611761		False
47850026@N04	6443433857		False
86390270@N03	49771686717		False
40062397@N00	49743355852		False
142178697@N05	49713522623		False
40062397@N00	49704927332		False
153622489@N02	49724344881		False
59105761@N03	49527155046		False
87284389@N05	49468888488		False
10623930@N05	49450264121		False
97184993@N05	49398625346		False
59971197@N06	49347450441		False
21009858@N03	49273645543		False
146861674@N06	49141484286		False
146138034@N02	49079937732		False
56079473@N02	49057826546		False
17092506@N00	49048511452		False
125401806@N03	49041180061		False
136561465@N03	49025157746		False
99233418@N08	48977274863		False
21486179@N03	48955943493		False
15574096@N00	48950290123		False
56079473@N02	48950579162		False
49476309@N05	48929312607		False
133833259@N02	48912215177		False
23659531@N00	48906640256		False
34068862@N06	48826896278		False
95276574@N05	48784281116		False
54504261@N08	48780275772		False
52971957@N00	48742926412		False
21009858@N03	48737019587		False
7907036@N06	48710865703		False
50895524@N08	48697905371		False
59743354@N04	48657301773		False
69304665@N00	48636832753		False
142178697@N05	48636711373		False
99833258@N00	48630642517		False
40226682@N03	48629280457		False
25820598@N06	48622402993		False
91434118@N00	48463144042		False
153622489@N02	48299739867		False
10172888@N07	48251965367		False
123472362@N05	48163244996		False
125356702@N05	48147474351		False
92607215@N07	48138241597		False
21009858@N03	48072808562		False
7907036@N06	48015971711		False
7907036@N06	47936444916		False
40062397@N00	47050768844		False
91734152@N08	13424199104		False
43651635@N03	47000855194	!	False
40062397@N00	46862124135		False
91607439@N07	47749541351		False
64256514@N02	32771682757		False
53046179@N02	47679840561		False
43651635@N03	47677956001		False
29318358@N05	40626982593		False
147756826@N02	40584915493		False
8766937@N07	35095995902	love this	True
12966195@N00	32559342597		False
23557339@N03	46776789944		False
37058515@N03	46558007045		False
123472362@N05	46506780435		False
127357211@N03	40365453343		False
28141759@N04	46407848325		False
69304665@N00	46283956265		False
12966195@N00	46245081545		False
21009858@N03	47136594671		False
125356702@N05	40127056623		False
21009858@N03	40108697883		False
8766937@N07	33140098098		False
8381761@N04	46179986934		False
8766937@N07	39837432823		False
7907036@N06	46749477002		False
98685670@N07	31825523657		False
21009858@N03	39790903773		False
55047645@N06	39789637593		False
124794122@N07	32872833748		False
34068862@N06	45961516794		False
21009858@N03	45762247675		False
127357211@N03	45780963834		False
123472362@N05	46355897282		False
154843912@N04	44586744480		False
29826269@N07	46291585812		False
8766937@N07	2461169633		False
62398547@N08	46248612461		False
8766937@N07	46230832561		False
8766937@N07	45506937444		False
74339172@N04	46165179971		False
22729253@N06	46040115631	!	False
18971784@N00	32151510438		False
64738613@N04	45238301744		False
98685670@N07	44145990630		False
158143118@N06	45835572072		False
45029785@N00	44964394035		False
7907036@N06	45703166451		False
125901226@N08	45681337191		False
32646810@N08	45645516431		False
76024502@N00	43809614370		False
59743354@N04	31706228618		False
7564428@N07	43726007410		False
91434118@N00	44781823804		False
21009858@N03	31534744668		False
21088294@N00	44258324005		False
83917938@N02	44557411761		False
107755675@N07	29863933147		False
59743354@N04	42783951600		False
7907036@N06	42596662700		False
28219444@N07	44203793032		False
124794122@N07	43238024425		False
34068862@N06	29192128577		False
124794122@N07	29034910237		False
13476480@N07	43055480035		False
154843912@N04	43091116914		False
22729253@N06	42955440264		False
40974553@N04	43623973662		False
75986245@N03	43657371981		False
146029710@N03	43098495762		False
59389086@N00	28259438227		False
46714789@N04	43113831221		False
118234044@N04	41270701930		False
39332868@N00	29156343428		False
40974553@N04	29116536768	!!!	True
29826269@N07	42267204564		False
59743354@N04	28092840837		False
22729253@N06	42939786231		False
134480576@N07	29043066178	!	False
52661377@N05	42868587061		False
126220267@N05	27987255977		False
35210521@N03	27986535487		False
123472362@N05	28981610878		False
8766937@N07	42135360404		False
76348612@N07	42132465544	!	False
153814860@N03	41912231305		False
28219444@N07	42739700722		False
28219444@N07	42739693512		False
146533519@N04	42711339102		False
28219444@N07	42692811481		False
59348663@N05	41786947795		False
22729253@N06	28719984108	!	False
92445262@N04	28488383268		False
134480576@N07	40474386570		False
130598668@N02	42226747372		False
10968810@N00	41321177275		False
29826269@N07	41305177945		False
91262356@N06	27315873837		False
108761754@N04	42127214401		False
64515520@N02	42039111092		False
45029785@N00	41990991291		False
95787103@N07	27961204498		False
143637884@N07	41094350034		False
148947180@N03	26808999347		False
45029785@N00	41448695822		False
53196740@N04	26586685047		False
134480576@N07	41350985042		False
77838623@N04	26507104147		False
8766937@N07	40540636724		False
123472362@N05	41117601222		False
72113364@N00	39292618930		False
150027856@N06	41074335021		False
155337021@N02	41013239222		False
17092506@N00	26181496557		False
26124575@N04	40932132802		False
46185020@N02	40073134515	!	False
40974553@N04	40943665221		False
95276574@N05	26062557967		False
70704693@N07	40187484994		False
126220267@N05	27016761758		False
79279906@N06	39039877760		False
21088294@N00	40836951151		False
64256514@N02	26924039178		False
134086857@N02	39895478275		False
125138564@N08	40724233372		False
48063099@N00	40009323634		False
61312324@N04	25841823477		False
23186006@N04	40672929351		False
51460709@N04	40617836422		False
27272726@N08	25786755457		False
123472362@N05	39938212984		False
54714244@N08	26769983828		False
8244127@N07	40580491141		False
8766937@N07	38764909800		False
73355451@N03	25704145657		False
92171206@N03	38672471250		False
14685070@N05	26536645088		False
35210521@N03	39502909035		False
50895524@N08	39140734405		False
37181828@N02	28190486299		False
119199593@N07	39161684224		False
95276574@N05	39159763954		False
126220267@N05	38904834245		False
54714244@N08	39734039432		False
24876527@N07	25771616768		False
40974553@N04	25767240198		False
53196740@N04	38687705585		False
135640458@N05	27803939029		False
95276574@N05	25620520998		False
46714789@N04	25544947678		False
47850026@N04	4429074133		False
42322490@N04	27571827389		False
118234044@N04	24344688567		False
155337021@N02	38116966805		False
150687127@N08	38991305591		False
43651635@N03	27176020979		False
7907036@N06	27170674489		False
62796462@N02	38941197371		False
150465530@N03	27162343549		False
116685283@N05	38661713666		False
118234044@N04	26772779979		False
92332052@N02	38471378382		False
30578056@N07	38139650631		False
118234044@N04	38050363936		False
134480576@N07	37936870806		False
54190580@N08	37895763672	!	False
147016416@N07	37116297223		False
134480576@N07	37483249110		False
57019011@N00	23840668498		False
34831934@N05	37618618771		False
14935125@N00	23724259108		False
62796462@N02	37516788212		False
62796462@N02	37513338371		False
22882785@N04	37249722330		False
126220267@N05	37505446091		False
92745549@N06	37456054596		False
123472362@N05	36578336153		False
59743354@N04	37183998521		False
7907036@N06	37280477575		False
30970478@N07	36791952840		False
135640458@N05	36624839412		False
62014598@N02	36288306040		False
87284389@N05	35698577763		False
135640458@N05	36391852195		False
135640458@N05	35431700543		False
43029420@N04	36176634996		False
118234044@N04	35377407483	!	False
35210521@N03	36167207865		False
46185020@N02	35677444470		False
38027226@N07	36016289486		False
86380656@N02	35905800881		False
153814860@N03	35465597310		False
30970478@N07	35413459970		False
30578056@N07	35333976490	!!!	True
24802325@N07	35673545935		False
45601148@N06	34635239283		False
95114633@N03	35281347541		False
26567342@N07	34449597303		False
35210521@N03	35067180121		False
74250707@N05	35137735716		False
45029785@N00	34165541824		False
44209656@N08	34075719153		False
91434118@N00	33971412964		False
37058515@N03	33837526154		False
38791739@N02	33773821614	!	False
127357211@N03	34498405196		False
44209656@N08	34351205186		False
111516195@N05	34201058261		False
130525277@N08	33473454694		False
118234044@N04	32921770523		False
45029785@N00	32751140883		False
46185020@N02	33486933286		False
127013382@N07	32550867184		False
95740035@N04	33183522291		False
7907036@N06	32467189374		False
45029785@N00	32583594626		False
123472362@N05	32604587085		False
69304665@N00	32175466622		False
89154619@N04	31917570810		False
123472362@N05	32068855751		False
52661377@N05	31307473264		False
45029785@N00	32056917126		False
21009858@N03	31187552394		False
135640458@N05	31715377571	!!	False
95740035@N04	31583111251		False
118234044@N04	31287704960	!	False
37058515@N03	31216062382		False
46185020@N02	30492000080	!	False
35210521@N03	30623459625		False
33893699@N02	30286894272		False
95740035@N04	30335321176		False
30872393@N05	30058793630		False
53196740@N04	29593060243		False
30578056@N07	29506229174		False
64181963@N00	14696483266		False
87386709@N02	28984574664		False
95276574@N05	28894561673		False
34840284@N07	28273169113		False
12966195@N00	28593811680		False
35210521@N03	28707930942		False
70704693@N07	28283576530		False
7907036@N06	27294864713		False
7564428@N07	26062091423		False
54190580@N08	26053742414		False
50895524@N08	26300405100	!	False
30578056@N07	25928440274		False
72113364@N00	4054313299		False
7564428@N07	25763633796	!	False
7564428@N07	25620376915		False
66000653@N07	24849502034		False
47827656@N00	24827759924		False
24844563@N04	24637039284		False
43886382@N03	24954572670	!	False
51450600@N02	24801563859		False
28079824@N03	41810769361		False
28079824@N03	9461938565		False
30578056@N07	24539684769	!	False
22729253@N06	24654606422		False
123472362@N05	24284902496		False
125589727@N04	23740560446		False
123472362@N05	23289263249		False
22729253@N06	22859456332	!	False
33816878@N07	20382585975		False
39036128@N06	19689294494		False
123472362@N05	20115295206		False
34840284@N07	19939505092		False
30509688@N03	19858312071		False
50628097@N05	19724364732		False
26623174@N08	19494461669		False
26623174@N08	19673984972		False
91262356@N06	19201975941		False
88292411@N04	18738056121		False
59389086@N00	8005708943		False
60457584@N04	17485932960		False
23419469@N08	17222210458		False
63184033@N05	17203426770		False
88292411@N04	17211145911		False
40162979@N02	16813132617		False
72939746@N08	16426458269		False
46185020@N02	16400178546		False
25427012@N07	16525201086		False
118234044@N04	16333562988		False
88292411@N04	16241112639		False
118234044@N04	15902707728		False
12263029@N00	3202664349		False
58958821@N00	16046699691		False
88292411@N04	15793140807		False
7907036@N06	15791821937		False
7974331@N02	15966003241		False
88292411@N04	15914775416		False
38349570@N04	15914394631		False
121585339@N03	15914393941		False
118234044@N04	15296560083		False
12467754@N04	15913126301		False
45817045@N04	15698725367		False
69960995@N02	15688191060		False
45029785@N00	15681242269		False
94193085@N03	15248341424		False
118234044@N04	15870907285		False
49277044@N02	15236623424		False
129284915@N04	15223626754		False
72939746@N08	15656157898		False
118234044@N04	15650412819		False
129284915@N04	15202108163		False
92041771@N05	15622201849		False
91912827@N03	15616119917		False
116193418@N03	15600789670		False
38349570@N04	15780343631		False
58579567@N00	15594814630		False
128397890@N06	15752504716	great	True
7559791@N03	15750611236		False
26567342@N07	15588389578		False
34551138@N02	15583106099		False
37058515@N03	15916714462		False
45029785@N00	15766081482		False
33922882@N00	15576161637		False
12966195@N00	15574467010		False
89007357@N05	15136497403		False
10639404@N04	15126362843		False
92041771@N05	15716716255		False
43958705@N00	15707713022		False
88292411@N04	15702697485		False
21839989@N06	15053414333		False
94714657@N06	15051225493		False
17092506@N00	15670141302	!	False
123360165@N07	15468938537		False
28141759@N04	15630808746		False
62334212@N03	15590009976		False
73778818@N00	15590676175		False
91434118@N00	14948720623		False
18971784@N00	15324381578		False
63761057@N07	14846759746		False
91434118@N00	15279088057		False
33876806@N02	15450706242		False
76099985@N00	14978588588		False
23557339@N03	15428829022		False
30725406@N00	15332154526		False
7907036@N06	15352746422		False
45655686@N08	15155917877		False
7907036@N06	15139520870		False
95740035@N04	15311300162		False
70195645@N00	15121073320		False
21319001@N03	15292724375		False
34840284@N07	15287014285		False
46185020@N02	15089470469		False
117551846@N06	15247010546		False
40133122@N05	15068381157		False
21839989@N06	15249284845		False
7448265@N05	15057790798		False
35948890@N04	15239811125		False
84821078@N07	15047664210		False
91912827@N03	15036277958		False
34840284@N07	15018891890		False
22729253@N06	15192455512		False
25820598@N06	15000912468		False
55787774@N00	14979106738		False
37527773@N07	15134746242		False
72113364@N00	51233073302		False
10172888@N07	51076421107		False
65484951@N00	50689225642		False
98685670@N07	49982172246		False
95276574@N05	49595442746	!	False
45029785@N00	49083687466		False
45029785@N00	48947965847		False
69304665@N00	48838295277		False
124794122@N07	48811867311		False
127357211@N03	48808882512		False
127357211@N03	48487523751		False
40062397@N00	40662229843		False
8766937@N07	29537075365		False
45323936@N00	44180103220		False
118234044@N04	45513175342	!	False
160912325@N07	43879438025		False
48290844@N08	43860064264		False
53196740@N04	44225060001		False
145709687@N06	29253141828		False
53196740@N04	42858992542		False
95787103@N07	42883531351		False
23186006@N04	27478486217		False
53196740@N04	27503584538		False
53196740@N04	40306670874		False
128559734@N02	40902028002		False
154843912@N04	40900429261		False
79579400@N02	40783009221		False
95951736@N00	39826045094		False
155337021@N02	39231912744		False
81685238@N07	25784324298		False
48290844@N08	27580324659		False
118225823@N05	25141307698		False
53196740@N04	27121798219		False
51460709@N04	38008672996		False
29826269@N07	37927355896		False
37181828@N02	37073063844		False
48903234@N08	36354780310		False
123472362@N05	33391185332		False
49997863@N06	30117575992		False
56996642@N05	28357600315		False
82561956@N02	27471465125		False
7448265@N05	27071936566		False
46714789@N04	26951976716		False
92171206@N03	20742978740		False
125810232@N03	16761664466		False
42276267@N07	16144924104		False
65631600@N04	16165122277		False
7907036@N06	15357938493		False
45671298@N05	15967903501		False
55595872@N02	15923577872		False
37828544@N05	15704662430		False
23557339@N03	15836748962		False
36096096@N04	15617927188		False
69960995@N02	15781879335		False
28141759@N04	15491725629		False
62338617@N04	15281097588		False
18971784@N00	15464643275		False
7907036@N06	15149697589		False
117551846@N06	15092891230		False
69960995@N02	15068718610		False
89966777@N07	15233515182		False
37058515@N03	14982510789		False
88292411@N04	15098017596		False
35336382@N00	15074072802		False
7907036@N06	15052154815		False
94002396@N06	15045938865		False
13148930@N04	14852437799		False
35948890@N04	15019704851		False
58871833@N08	14830564860		False
94714657@N06	14983205391		False
88292411@N04	14792967669		False
49712132@N07	14791156998		False
75588529@N08	14763929800		False
28177943@N08	14898184383		False
41746825@N03	14934663445		False
94980687@N08	14896272266		False
12966195@N00	14895290401		False
109114657@N03	14846545912		False
29521199@N00	14691451130	!	False
50628097@N05	14691066969		False
53793543@N05	14860654725		False
26623174@N08	14839411854		False
8593619@N08	14610975378		False
118234044@N04	14772560036		False
118234044@N04	14798192803		False
34481451@N07	14788445993		False
53697762@N05	14577791080		False
77313944@N03	14741360256		False
112831093@N07	14767471683		False
122369923@N04	14732102915		False
61629265@N02	14727761865		False
95740035@N04	14532347138		False
95740035@N04	14664036076		False
59021497@N07	14455265358		False
23546855@N08	14444841009		False
54448714@N06	14642013423		False
38818845@N04	14432568508		False
48744245@N08	14371501539		False
46185020@N02	14362958100		False
57264442@N08	14533982945		False
21839989@N06	14519450024		False
31349472@N07	14509638454		False
95740035@N04	14488958675		False
23546855@N08	14463115636		False
77534081@N00	14277470028		False
23419469@N08	14272077827		False
113678061@N02	14454520131		False
62334212@N03	14228261478		False
49712132@N07	14202805417		False
45029785@N00	14363128811		False
7907036@N06	14346782746		False
7907036@N06	14381389003		False
123360165@N07	14313994572		False
21839989@N06	14257783636		False
23546855@N08	14069631077		False
21319001@N03	14255309445		False
88292411@N04	14243908781		False
77534081@N00	14056712557		False
55595872@N02	14207588631		False
13238905@N03	14184467265		False
118234044@N04	14155446556		False
39372977@N06	14163635941		False
45038507@N00	13973177207		False
119748565@N05	14159762594		False
64515520@N02	13965470738	nice	True
35210521@N03	26294011204		False
74102657@N05	14119113121		False
8549414@N03	14085346732		False
53793543@N05	14011544084		False
34404268@N07	13886268161		False
118234044@N04	13893756303		False
95740035@N04	13880326264		False
39372977@N06	13751066125		False
45817045@N04	13703232943		False
34840284@N07	13699681314		False
58391112@N06	13695878893		False
44890018@N07	13609151723		False
75588529@N08	13558551483		False
28990564@N05	13535682024		False
7907036@N06	13536330725		False
62334212@N03	13460899675		False
92829833@N00	13402273914		False
95740035@N04	13388106245		False
80783800@N00	13372990363		False
88292411@N04	13364692035		False
33893699@N02	13302030283		False
75588529@N08	13295250305		False
8593619@N08	13248745274		False
8593619@N08	13248529473		False
30710205@N08	13240320843		False
109114657@N03	13149529864		False
62528244@N00	13140415614		False
118234044@N04	12819122323		False
69960995@N02	12756276535		False
34404268@N07	12596252973		False
33893699@N02	12517991434		False
12673279@N07	12502387525		False
21299626@N00	12292673145		False
115990609@N08	12237609225		False
75588529@N08	12219746034		False
38349570@N04	12107147956		False
28177943@N08	11420665886		False
63332741@N02	12080097806		False
34999651@N07	12052778346		False
25698258@N04	12040968645		False
91434118@N00	12042474546		False
38349570@N04	12035285865		False
100321022@N07	12011797746		False
23419469@N08	11996430813		False
