Type;Split;Model;Train score (R²);Test score (R²);Finished at timestamp (s)
ElasticNet;1;ElasticNet(alpha=0.2475765283005601, l1_ratio=0.7364676814799669);0.3841297823924501;0.4279540518648468;834.8424534797668
ElasticNet;2;ElasticNet(alpha=0.14614981647464922, l1_ratio=1.0);0.4043678509305326;0.4235351537341413;1677.2488656044006
ElasticNet;3;ElasticNet(alpha=0.13194120006776514, l1_ratio=1.0);0.4170648740313977;0.39103890351217063;2509.8784744739532
ElasticNet;4;ElasticNet(alpha=0.16794414003661898, l1_ratio=0.876022269131294);0.43442703011691775;0.2506176148551117;3324.2625017166138
ElasticNet;5;ElasticNet(alpha=0.179005629335488, l1_ratio=0.6351826352335416);0.43633248784098766;0.31888502002872643;4099.401672840118
ElasticNet;6;ElasticNet(alpha=0.19703291506354556, l1_ratio=0.7507902341554163);0.42449877324017593;0.30004639014600776;4909.581746578217
ElasticNet;7;ElasticNet(alpha=0.12768843646966266, l1_ratio=1.0);0.4174884440093788;0.4015088831619714;5721.298225879669
ElasticNet;8;ElasticNet(alpha=0.2030104900468997, l1_ratio=1.0);0.4104866350688323;0.34732546795503827;6536.327600002289
ElasticNet;9;ElasticNet(alpha=0.6917139479927163, l1_ratio=0.001);0.4180794206694838;0.26314831955291373;7317.406552553177
ElasticNet;10;ElasticNet(alpha=0.19081630756937376, l1_ratio=0.8470780245512602);0.4446549517138525;0.2349293117846234;8120.768798112869
ElasticNet;11;ElasticNet(alpha=0.20956618927116785, l1_ratio=0.8190915367370069);0.403953958039037;0.3791709640923199;8884.260966539383
ElasticNet;12;ElasticNet(alpha=0.13558626981162517, l1_ratio=1.0);0.4242301079148523;0.3365011878972418;9709.95426273346
ElasticNet;13;ElasticNet(alpha=0.15780816535921746, l1_ratio=1.0);0.40063982347168436;0.39760305156935094;10500.204898834229
ElasticNet;14;ElasticNet(alpha=0.17912471163992952, l1_ratio=0.7715396011576641);0.4083620542967261;0.40692897982894805;11249.55829000473
ElasticNet;15;ElasticNet(alpha=0.15313618958312297, l1_ratio=1.0);0.40755231784170853;0.3939565960313235;12057.440967559814
ElasticNet;16;ElasticNet(alpha=0.2609620102644162, l1_ratio=0.6709580420657463);0.3875643904700342;0.3506539798785351;12867.461820840836
ElasticNet;17;ElasticNet(alpha=0.1652168735411579, l1_ratio=0.7022060433740904);0.4229061801555192;0.39082110275622095;13665.063512563705
ElasticNet;18;ElasticNet(alpha=0.14865167465788232, l1_ratio=0.812310998946776);0.4336020739521729;0.2583294270438323;14454.091265439987
ElasticNet;19;ElasticNet(alpha=0.1378213803487438, l1_ratio=1.0);0.44670115900876683;0.2549312237006546;15266.844955682755
ElasticNet;20;ElasticNet(alpha=0.1609164896527334, l1_ratio=1.0);0.4105441448301137;0.38858404095086385;16092.872373104095
ElasticNet;21;ElasticNet(alpha=0.2074653902025515, l1_ratio=0.8019144695842845);0.39834506308312323;0.4032052083182569;16886.323434829712
ElasticNet;22;ElasticNet(alpha=0.44718353042669057, l1_ratio=0.001);0.44289909339278355;0.24673695629882564;17698.9346575737
ElasticNet;23;ElasticNet(alpha=0.18671201642678856, l1_ratio=1.0);0.40243404146907846;0.3682579373105783;18515.12309718132
ElasticNet;24;ElasticNet(alpha=0.15065035799069304, l1_ratio=1.0);0.4191419999010192;0.378898412836596;19281.1965944767
ElasticNet;25;ElasticNet(alpha=0.15844589970199682, l1_ratio=1.0);0.44139967483490283;0.287104978651608;20090.585879087448
ElasticNet;26;ElasticNet(alpha=0.19765795535510627, l1_ratio=0.8437257749387633);0.4038219640571583;0.3680525790839021;20895.593337774277
ElasticNet;27;ElasticNet(alpha=0.12879534717749502, l1_ratio=1.0);0.4332180279470036;0.33190105876789555;21718.184324264526
ElasticNet;28;ElasticNet(alpha=0.24411100482776063, l1_ratio=0.5819205550887002);0.4259584820576974;0.287497186252466;22537.141575574875
ElasticNet;29;ElasticNet(alpha=0.1347148077609543, l1_ratio=0.9294172833966654);0.4274953781411944;0.3029319224083139;23342.035378694534
ElasticNet;30;ElasticNet(alpha=0.17244118355717072, l1_ratio=0.8511818175481897);0.42196148770911246;0.32656811911694883;24120.787458896637
ElasticNet;31;ElasticNet(alpha=0.1596321299425674, l1_ratio=1.0);0.4244323827844225;0.30151017917461487;24895.382472515106
ElasticNet;32;ElasticNet(alpha=0.3744510265524359, l1_ratio=0.2951075661400031);0.40693077580695713;0.3207881265443243;25659.936702251434
ElasticNet;33;ElasticNet(alpha=0.36554903211661577, l1_ratio=0.27441292709891363);0.4017480192554762;0.3227264100253133;26413.06364274025
ElasticNet;34;ElasticNet(alpha=0.1769111680178846, l1_ratio=0.48066277500745064);0.43456912791173874;0.2877974569603444;27196.92079114914
ElasticNet;35;ElasticNet(alpha=0.15113966959806102, l1_ratio=1.0);0.4493382592806422;0.2218538601821055;27988.15826535225
ElasticNet;36;ElasticNet(alpha=0.14169370766226166, l1_ratio=1.0);0.43073389911906124;0.31625129112989425;28803.714225769043
ElasticNet;37;ElasticNet(alpha=0.18136400463756325, l1_ratio=1.0);0.4321249056732718;0.2893636294982401;29612.765144586563
ElasticNet;38;ElasticNet(alpha=0.18155190531086401, l1_ratio=1.0);0.4003805310991888;0.33623059206654016;30407.709651470184
ElasticNet;39;ElasticNet(alpha=0.14154168638586773, l1_ratio=1.0);0.4431765611782409;0.2678942766816582;31226.947375774384
ElasticNet;40;ElasticNet(alpha=0.170672266152856, l1_ratio=0.825309849517267);0.37731497363004673;0.387340435716956;32036.685741186142
ElasticNet;41;ElasticNet(alpha=0.16962289513409723, l1_ratio=0.8431462068765873);0.40774879051202706;0.40475459933344693;32869.582243680954
ElasticNet;42;ElasticNet(alpha=0.18748925607243394, l1_ratio=0.5412118644383083);0.44694985373193297;0.27323543589060884;33647.27097272873
ElasticNet;43;ElasticNet(alpha=0.18318595432251722, l1_ratio=0.7973019933604396);0.449216356435593;0.2400530355018382;34428.27785539627
ElasticNet;44;ElasticNet(alpha=0.21216742661036211, l1_ratio=1.0);0.39937901991474967;0.3389874748974162;35238.141566991806
ElasticNet;45;ElasticNet(alpha=0.17160368344756585, l1_ratio=1.0);0.36950827394861063;0.44934654652138584;36016.435376644135
ElasticNet;46;ElasticNet(alpha=0.14721564409964158, l1_ratio=0.7689803578848953);0.44246631331540787;0.22758680656906882;36821.795348882675
ElasticNet;47;ElasticNet(alpha=0.14603157168638986, l1_ratio=1.0);0.4243096557239576;0.3386601964383268;37653.89493083954
ElasticNet;48;ElasticNet(alpha=0.21286716129094901, l1_ratio=0.656961640018568);0.4238593969845853;0.33109287718435;38442.341381788254
